Designator,Mid X,Mid Y,Rotation,Layer
L1,13.0,-28.3,270.0,top
L2_6,15.226274,-92.026274,315.0,top
L2_5,15.226274,-60.026274,315.0,top
L2_4,15.226274,-28.026274,315.0,top
L2_3,57.226274,-28.026274,315.0,top
L2_2,57.226274,-92.026274,315.0,top
L2,57.226274,-60.026274,315.0,top
R1_6,12.45,-16.1,0.0,top
R1_5,54.45,-48.1,0.0,top
R1_4,54.45,-16.1,0.0,top
R1_3,54.45,-80.1,0.0,top
R1_2,12.45,-48.1,0.0,top
R1,12.45,-80.1,0.0,top
R10_6,15.725,-18.48,270.0,top
R10_5,15.725,-82.48,270.0,top
R10_4,15.725,-50.48,270.0,top
R10_3,57.725,-50.48,270.0,top
R10_2,57.725,-18.48,270.0,top
R10,57.725,-82.48,270.0,top
R11_6,52.3,-11.18,90.0,top
R11_5,52.3,-75.18,90.0,top
R11_4,52.3,-43.18,90.0,top
R11_3,10.3,-43.18,90.0,top
R11_2,10.3,-75.18,90.0,top
R11,10.3,-11.18,90.0,top
R12_6,75.905,-75.75,0.0,top
R12_5,33.905,-75.75,0.0,top
R12_4,75.905,-43.75,0.0,top
R12_3,33.905,-11.75,0.0,top
R12_2,33.905,-43.75,0.0,top
R12,75.905,-11.75,0.0,top
R2_6,20.405,-48.175,180.0,top
R2_5,62.405,-80.175,180.0,top
R2_4,62.405,-48.175,180.0,top
R2_3,20.405,-80.175,180.0,top
R2_2,20.405,-16.175,180.0,top
R2,62.405,-16.175,180.0,top
R3_6,19.9,-29.2,180.0,top
R3_5,19.9,-93.2,180.0,top
R3_4,61.9,-61.2,180.0,top
R3_3,61.9,-93.2,180.0,top
R3_2,61.9,-29.2,180.0,top
R3,19.9,-61.2,180.0,top
R4_6,11.2,-56.6,270.0,top
R4_5,53.2,-24.6,270.0,top
R4_4,11.2,-24.6,270.0,top
R4_3,53.2,-88.6,270.0,top
R4_2,53.2,-56.6,270.0,top
R4,11.2,-88.6,270.0,top
R6_6,56.225,-82.48,270.0,top
R6_5,14.225,-82.48,270.0,top
R6_4,56.225,-50.48,270.0,top
R6_3,14.225,-18.48,270.0,top
R6_2,56.225,-18.48,270.0,top
R6,14.225,-50.48,270.0,top
R7_6,54.725,-18.475,270.0,top
R7_5,12.725,-82.475,270.0,top
R7_4,54.725,-50.475,270.0,top
R7_3,12.725,-50.475,270.0,top
R7_2,54.725,-82.475,270.0,top
R7,12.725,-18.475,270.0,top
R8_6,16.475,-50.48,270.0,top
R8_5,58.475,-82.48,270.0,top
R8_4,16.475,-18.48,270.0,top
R8_3,58.475,-18.48,270.0,top
R8_2,16.475,-82.48,270.0,top
R8,58.475,-50.48,270.0,top
R9_6,13.475,-82.48,270.0,top
R9_5,13.475,-50.48,270.0,top
R9_4,55.475,-50.48,270.0,top
R9_3,55.475,-18.48,270.0,top
R9_2,13.475,-18.48,270.0,top
R9,55.475,-82.48,270.0,top
SW1_6,44.5,-43.5,270.0,top
SW1_5,86.5,-75.5,270.0,top
SW1_4,86.5,-43.5,270.0,top
SW1_3,86.5,-11.5,270.0,top
SW1_2,44.5,-11.5,270.0,top
SW1,44.5,-75.5,270.0,top
SW2_6,86.5,-50.5,270.0,top
SW2_5,44.5,-82.5,270.0,top
SW2_4,44.5,-50.5,270.0,top
SW2_3,86.5,-18.5,270.0,top
SW2_2,86.5,-82.5,270.0,top
SW2,44.5,-18.5,270.0,top
SW3_6,44.5,-89.5,270.0,top
SW3_5,86.5,-25.5,270.0,top
SW3_4,44.5,-25.5,270.0,top
SW3_3,44.5,-57.5,270.0,top
SW3_2,86.5,-57.5,270.0,top
SW3,86.5,-89.5,270.0,top
SW4_6,86.5,-32.5,270.0,top
SW4_5,44.5,-64.5,270.0,top
SW4_4,86.5,-64.5,270.0,top
SW4_3,86.5,-96.5,270.0,top
SW4_2,44.5,-32.5,270.0,top
SW4,44.5,-96.5,270.0,top
U1_6,52.5,-80.95,90.0,top
U1_5,10.5,-80.95,90.0,top
U1_4,10.5,-16.95,90.0,top
U1_3,52.5,-48.95,90.0,top
U1_2,10.5,-48.95,90.0,top
U1,52.5,-16.95,90.0,top
U2_6,35.5125,-61.25,0.0,top
U2_5,77.5125,-29.25,0.0,top
U2_4,35.5125,-93.25,0.0,top
U2_3,77.5125,-93.25,0.0,top
U2_2,77.5125,-61.25,0.0,top
U2,35.5125,-29.25,0.0,top
U3_6,20.9,-23.25,0.0,top
U3_5,62.9,-23.25,0.0,top
U3_4,20.9,-87.25,0.0,top
U3_3,62.9,-55.25,0.0,top
U3_2,20.9,-55.25,0.0,top
U3,62.9,-87.25,0.0,top
U4_6,56.8,-23.45,180.0,top
U4_5,56.8,-55.45,180.0,top
U4_4,14.8,-23.45,180.0,top
U4_3,14.8,-87.45,180.0,top
U4_2,56.8,-87.45,180.0,top
U4,14.8,-55.45,180.0,top
U5_6,37.0625,-11.75,0.0,top
U5_5,79.0625,-43.75,0.0,top
U5_4,37.0625,-75.75,0.0,top
U5_3,37.0625,-43.75,0.0,top
U5_2,79.0625,-75.75,0.0,top
U5,79.0625,-11.75,0.0,top
Y1_6,51.25,-23.7,90.0,top
Y1_5,9.25,-87.7,90.0,top
Y1_4,9.25,-23.7,90.0,top
Y1_3,9.25,-55.7,90.0,top
Y1_2,51.25,-55.7,90.0,top
Y1,51.25,-87.7,90.0,top
