Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C17, C4",0402,3,10u,C315248
"C10, C12",0201,2,1u,C170153
"C11, C13, C15, C16, C18, C19, C2, C20, C3, C7",0201,10,100n,C284966
C14,0201,1,10n,C76941
"C5, C8",0201,2,3p3,C258460
"C6, C9",0201,2,10p,C272871
"D1, D2, D3, D4",WS2812B,4,WS2812B,C2976072
J1,USB_C_SINK,1,~,C2906289
J2,JUSHUO_FPC_24,1,~,C262669
"L1, L2",0201,2,2n2,C98041
"R1, R2, R3",0201,3,5K1,C274341
"R10, R6, R7, R8, R9",0201,5,100R,C77623
R11,0201,1,499R,C4354889
R12,0201,1,10R,C304508
R4,0201,1,22R,C270355
"SW1, SW2, SW3, SW4",button-oval,4,~,C720479
U1,SOT-563,1,USBLC6-2SC6,C2827693
U2,SOT-23-5,1,SPX3819M5-L-3-3,C5370980
U3,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,C97521
U4,QFN-32-1EP_5x5mm_P0.5mm_EP3.1x3.1mm,1,ESP32-C3,C2838500
U5,SOT-23-6,1,SN74LVC1T45DBV,C168856
Y1,Crystal_SMD_2520-4Pin_2.5x2.0mm,1,40Mhz,C409424
