Designator,Mid X,Mid Y,Rotation,Layer
C201,176.22,-41.6,180.0,top
C202,176.355,-42.5,180.0,top
C203,178.3,-46.045,270.0,top
C204,179.7,-45.8,0.0,top
C301,155.655,-60.2,180.0,top
C302,151.855,-54.55,0.0,top
C303,168.21,-61.4,0.0,top
C304,156.35,-62.4,0.0,top
C305,152.255,-58.85,180.0,top
C306,162.34,-50.97,0.0,top
C307,157.2,-60.45,225.0,top
C308,153.905,-59.525,180.0,top
C309,159.7,-61.745,270.0,top
C310,153.38,-60.3,180.0,top
C311,160.225,-60.475,180.0,top
C312,160.6,-52.325,90.0,top
C313,160.625,-61.93,270.0,top
C401,166.4,-48.605,270.0,top
D401,180.9,-52.2,0.0,top
J201,160.38,-40.0,180.0,top
J401,169.0,-52.0,270.0,top
L301,156.0,-61.3,270.0,top
L302,158.226274,-61.026274,315.0,top
R201,155.45,-49.1,0.0,top
R202,163.405,-49.175,180.0,top
R301,166.57,-61.4,180.0,top
R302,154.2,-57.6,270.0,top
R303,157.975,-51.48,270.0,top
R304,157.225,-51.48,270.0,top
R305,155.725,-51.475,270.0,top
R306,159.475,-51.48,270.0,top
R307,156.475,-51.48,270.0,top
R308,158.725,-51.48,270.0,top
R401,168.73,-42.65,0.0,top
SW101,185.0,-44.5,0.0,top
SW102,185.0,-51.5,270.0,top
SW103,185.0,-58.5,0.0,top
SW104,185.0,-65.5,0.0,top
U201,153.5,-49.95,90.0,top
U202,178.958289,-43.2,270.0,top
U301,163.9,-56.25,90.0,top
U302,157.8,-56.45,90.0,top
U401,180.2,-49.1,0.0,top
Y301,152.25,-56.7,90.0,top
branding-logo-1,180.85,-58.65,0.0,bottom
branding-name-1,173.85,-63.5,0.0,bottom
